発時刻,到着時刻,所要時間,路線名,行先,料金
5:38,6:26,0:48,普通,名古屋,770
6:08,6:56,0:48,普通,名古屋,770
6:24,7:12,0:48,普通,名古屋,770
6:39,7:27,0:48,普通,名古屋,770
6:49,7:37,0:48,普通,名古屋,770
6:56,7:44,0:48,普通,名古屋,770
7:07,7:49,0:42,快速,名古屋,770
7:22,8:04,0:42,快速,名古屋,770
7:30,8:18,0:48,普通,名古屋,770
7:39,8:21,0:42,快速,名古屋,770
7:51,8:33,0:42,快速,名古屋,770
8:06,8:48,0:42,快速,名古屋,770
8:24,9:06,0:42,快速,名古屋,770
8:55,9:37,0:42,快速,名古屋,770
9:32,10:14,0:42,快速,名古屋,770
9:52,10:37,0:45,区間快速,名古屋,770
10:05,10:53,0:48,普通,名古屋,770
10:33,11:18,0:45,区間快速,名古屋,770
10:38,11:26,0:48,普通,名古屋,770
10:52,11:37,0:45,区間快速,名古屋,770
11:12,11:57,0:45,区間快速,名古屋,770
11:23,12:08,0:45,区間快速,名古屋,770
11:52,12:37,0:45,区間快速,名古屋,770
12:12,12:57,0:45,区間快速,名古屋,770
12:23,13:08,0:45,区間快速,名古屋,770
12:52,13:37,0:45,区間快速,名古屋,770
13:12,13:57,0:45,区間快速,名古屋,770
13:23,14:08,0:45,区間快速,名古屋,770
13:52,14:37,0:45,区間快速,名古屋,770
14:12,14:57,0:45,区間快速,名古屋,770
14:23,15:08,0:45,区間快速,名古屋,770
14:54,15:39,0:45,区間快速,名古屋,770
15:12,15:57,0:45,区間快速,名古屋,770
15:22,16:07,0:45,区間快速,名古屋,770
15:54,16:39,0:45,区間快速,名古屋,770
16:13,16:55,0:42,快速,名古屋,770
16:26,17:08,0:42,快速,名古屋,770
16:54,17:36,0:42,快速,名古屋,770
17:05,17:53,0:48,普通,名古屋,770
17:17,18:05,0:48,普通,名古屋,770
17:22,18:04,0:42,快速,名古屋,770
17:54,18:36,0:42,快速,名古屋,770
18:11,18:53,0:42,快速,名古屋,770
18:36,19:18,0:42,快速,名古屋,770
18:54,19:36,0:42,快速,名古屋,770
19:12,19:54,0:42,快速,名古屋,770
19:36,20:18,0:42,快速,名古屋,770
19:53,20:35,0:42,快速,名古屋,770
20:12,20:54,0:42,快速,名古屋,770
20:33,21:15,0:42,快速,名古屋,770
21:11,21:53,0:42,快速,名古屋,770
21:31,22:19,0:48,普通,名古屋,770
22:05,22:53,0:48,普通,名古屋,770
22:54,23:42,0:48,普通,名古屋,770
